==== produits ====
Columns prod:

id_produit
titre
slug
reference
description
description_courte
prix
prix_promo
promo_debut
promo_fin
stock
stock_alerte
statut
marque
modele
poids
specifications
garantie
est_en_vedette
est_nouveau
vues
note_moyenne
nombre_avis
id_categorie
id_pays
id_utilisateur
date_creation
created_at
updated_at
deleted_at
en_promo
uuid

Columns local:

id_produit
titre
slug
reference
description
description_courte
prix
prix_promo
promo_debut
promo_fin
stock
stock_alerte
statut
marque
modele
poids
specifications
garantie
est_en_vedette
est_nouveau
vues
note_moyenne
nombre_avis
id_categorie
id_pays
id_utilisateur
date_creation
created_at
updated_at
deleted_at
en_promo
uuid

Sample prod (first 50 rows):

id_produit|titre|slug|reference|description|description_courte|prix|prix_promo|promo_debut|promo_fin|stock|stock_alerte|statut|marque|modele|poids|specifications|garantie|est_en_vedette|est_nouveau|vues|note_moyenne|nombre_avis|id_categorie|id_pays|id_utilisateur|date_creation|created_at|updated_at|deleted_at|en_promo|uuid
65|Imprimante professionnelle Canon i-SENSYS MF754Cdw|imprimante-professionnelle-canon-i-sensys-mf754cdw-26-3|CAT-26-03|Produit de demonstration pour la sous-categorie Imprimante professionnelle.|Imprimante professionnelle - modele Canon i-SENSYS MF754Cdw|1932369.00||||27|3|disponible|Cisco|Canon i-SENSYS MF754Cdw|12.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Materiel informatique","subcategory":"Imprimante professionnelle","series":"Canon i-SENSYS MF754Cdw"},"tags":["demo","catalogue","imprimante-professionnelle"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|29|0.00|0|26|1|1|2026-04-07 16:34:32|2026-04-07 16:34:32|2026-04-07 16:34:32||f|3fd5a35f-2fd8-4819-ae7c-b5f28061096a
66|Switch manage Cisco C9300X-48HX|switch-manage-cisco-c9300x-48hx-28-1|CAT-28-01|Produit de demonstration pour la sous-categorie Switch manage.|Switch manage - modele Cisco C9300X-48HX|251916.00||||17|3|disponible|ZKTeco|Cisco C9300X-48HX|24.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Switch manage","series":"Cisco C9300X-48HX"},"tags":["demo","catalogue","switch-manage"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|114|0.00|0|28|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|4610bfd7-59ce-497e-b37c-a3f6abdd1a7f
67|Switch manage Aruba 6200F 48G|switch-manage-aruba-6200f-48g-28-2|CAT-28-02|Produit de demonstration pour la sous-categorie Switch manage.|Switch manage - modele Aruba 6200F 48G|2437251.00||||27|3|disponible|APC|Aruba 6200F 48G|10.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Switch manage","series":"Aruba 6200F 48G"},"tags":["demo","catalogue","switch-manage"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|116|0.00|0|28|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|3aee086c-cf17-459b-a49c-0e37b87568a9
68|Switch manage Ubiquiti USW-Pro-48-PoE|switch-manage-ubiquiti-usw-pro-48-poe-28-3|CAT-28-03|Produit de demonstration pour la sous-categorie Switch manage.|Switch manage - modele Ubiquiti USW-Pro-48-PoE|236555.00||||24|3|disponible|DJI|Ubiquiti USW-Pro-48-PoE|14.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Switch manage","series":"Ubiquiti USW-Pro-48-PoE"},"tags":["demo","catalogue","switch-manage"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|85|0.00|0|28|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|bd2e17a0-301b-46f3-874f-f53d414f23df
69|Routeur entreprise Cisco ISR 4331|routeur-entreprise-cisco-isr-4331-29-1|CAT-29-01|Produit de demonstration pour la sous-categorie Routeur entreprise.|Routeur entreprise - modele Cisco ISR 4331|2445388.00||||30|3|disponible|HP|Cisco ISR 4331|1.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Routeur entreprise","series":"Cisco ISR 4331"},"tags":["demo","catalogue","routeur-entreprise"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|85|0.00|0|29|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|ac9077c3-4ffe-487d-8580-08ad74e5784a
70|Routeur entreprise MikroTik CCR2004-1G-12S+2XS|routeur-entreprise-mikrotik-ccr2004-1g-12s2xs-29-2|CAT-29-02|Produit de demonstration pour la sous-categorie Routeur entreprise.|Routeur entreprise - modele MikroTik CCR2004-1G-12S+2XS|1655265.00||||21|3|disponible|Dell|MikroTik CCR2004-1G-12S+2XS|22.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Routeur entreprise","series":"MikroTik CCR2004-1G-12S+2XS"},"tags":["demo","catalogue","routeur-entreprise"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|20|0.00|0|29|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|499fc6b5-0eea-4b96-b3c3-b9a393afccbb
71|Routeur entreprise Peplink Balance 310X|routeur-entreprise-peplink-balance-310x-29-3|CAT-29-03|Produit de demonstration pour la sous-categorie Routeur entreprise.|Routeur entreprise - modele Peplink Balance 310X|3406480.00||||17|3|disponible|ZKTeco|Peplink Balance 310X|5.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Routeur entreprise","series":"Peplink Balance 310X"},"tags":["demo","catalogue","routeur-entreprise"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|57|0.00|0|29|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|fa7e3cb3-af55-4689-9bfe-4a04725573ff
72|Point d'acces Wi-Fi Cisco Catalyst 9130AXI|point-dacces-wi-fi-cisco-catalyst-9130axi-30-1|CAT-30-01|Produit de demonstration pour la sous-categorie Point d'acces Wi-Fi.|Point d'acces Wi-Fi - modele Cisco Catalyst 9130AXI|2234746.00||||15|3|disponible|HP|Cisco Catalyst 9130AXI|5.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Point d'acces Wi-Fi","series":"Cisco Catalyst 9130AXI"},"tags":["demo","catalogue","point-dacces-wi-fi"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|19|0.00|0|30|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|645044c4-127c-4b55-b5a0-9c7daf69da08
73|Point d'acces Wi-Fi Aruba AP-515|point-dacces-wi-fi-aruba-ap-515-30-2|CAT-30-02|Produit de demonstration pour la sous-categorie Point d'acces Wi-Fi.|Point d'acces Wi-Fi - modele Aruba AP-515|1761966.00||||10|3|disponible|Dell|Aruba AP-515|28.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Point d'acces Wi-Fi","series":"Aruba AP-515"},"tags":["demo","catalogue","point-dacces-wi-fi"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|36|0.00|0|30|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|da6f64ea-1523-494f-bc23-bcb202a43525
74|Point d'acces Wi-Fi Ubiquiti U6 Pro|point-dacces-wi-fi-ubiquiti-u6-pro-30-3|CAT-30-03|Produit de demonstration pour la sous-categorie Point d'acces Wi-Fi.|Point d'acces Wi-Fi - modele Ubiquiti U6 Pro|2326614.00||||17|3|disponible|ZKTeco|Ubiquiti U6 Pro|13.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Point d'acces Wi-Fi","series":"Ubiquiti U6 Pro"},"tags":["demo","catalogue","point-dacces-wi-fi"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|77|0.00|0|30|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|98a616d6-020a-4c78-846d-a20e00874845
75|Pare-feu reseau Fortinet FortiGate 60F|pare-feu-reseau-fortinet-fortigate-60f-31-1|CAT-31-01|Produit de demonstration pour la sous-categorie Pare-feu reseau.|Pare-feu reseau - modele Fortinet FortiGate 60F|999260.00||||13|3|disponible|Cisco|Fortinet FortiGate 60F|22.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Pare-feu reseau","series":"Fortinet FortiGate 60F"},"tags":["demo","catalogue","pare-feu-reseau"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|47|0.00|0|31|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|c0ff9df2-a8d3-4a00-9a6c-4cb6f27a2bda
76|Pare-feu reseau Sophos XGS 2100|pare-feu-reseau-sophos-xgs-2100-31-2|CAT-31-02|Produit de demonstration pour la sous-categorie Pare-feu reseau.|Pare-feu reseau - modele Sophos XGS 2100|1480657.00||||26|3|disponible|Cisco|Sophos XGS 2100|26.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Pare-feu reseau","series":"Sophos XGS 2100"},"tags":["demo","catalogue","pare-feu-reseau"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|38|0.00|0|31|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|5572ad59-55bd-4716-9892-9fb6128b04b4
77|Pare-feu reseau Palo Alto PA-440|pare-feu-reseau-palo-alto-pa-440-31-3|CAT-31-03|Produit de demonstration pour la sous-categorie Pare-feu reseau.|Pare-feu reseau - modele Palo Alto PA-440|1113246.00||||15|3|disponible|MikroTik|Palo Alto PA-440|27.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Reseau informatique","subcategory":"Pare-feu reseau","series":"Palo Alto PA-440"},"tags":["demo","catalogue","pare-feu-reseau"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|114|0.00|0|31|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|111177b1-0c60-4634-af5c-1f8ee65012af
78|Extincteur Extincteur ABC 6kg|extincteur-extincteur-abc-6kg-33-1|CAT-33-01|Produit de demonstration pour la sous-categorie Extincteur.|Extincteur - modele Extincteur ABC 6kg|818733.00||||26|3|disponible|APC|Extincteur ABC 6kg|28.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Incendie","subcategory":"Extincteur","series":"Extincteur ABC 6kg"},"tags":["demo","catalogue","extincteur"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|57|0.00|0|33|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|24ef0ec3-8fa7-417e-a821-881ee5627e7b
79|Extincteur Extincteur CO2 5kg|extincteur-extincteur-co2-5kg-33-2|CAT-33-02|Produit de demonstration pour la sous-categorie Extincteur.|Extincteur - modele Extincteur CO2 5kg|848069.00||||27|3|disponible|HP|Extincteur CO2 5kg|23.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Incendie","subcategory":"Extincteur","series":"Extincteur CO2 5kg"},"tags":["demo","catalogue","extincteur"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|71|0.00|0|33|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|26bf2ff4-b9c1-4b98-96b0-2e92d45ee824
80|Extincteur Extincteur Eau additif 9L|extincteur-extincteur-eau-additif-9l-33-3|CAT-33-03|Produit de demonstration pour la sous-categorie Extincteur.|Extincteur - modele Extincteur Eau additif 9L|1518311.00||||11|3|disponible|HP|Extincteur Eau additif 9L|18.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Incendie","subcategory":"Extincteur","series":"Extincteur Eau additif 9L"},"tags":["demo","catalogue","extincteur"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|38|0.00|0|33|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|50b0b68f-95f0-4edb-90d9-fab2c6fe80b8
81|R.I.A RIA DN25 30m|ria-ria-dn25-30m-34-1|CAT-34-01|Produit de demonstration pour la sous-categorie R.I.A.|R.I.A - modele RIA DN25 30m|1751679.00||||7|3|disponible|Cisco|RIA DN25 30m|4.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Incendie","subcategory":"R.I.A","series":"RIA DN25 30m"},"tags":["demo","catalogue","ria"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|73|0.00|0|34|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|f8ea2292-4bb5-439d-a83b-75bbed3467be
82|R.I.A RIA DN19 20m|ria-ria-dn19-20m-34-2|CAT-34-02|Produit de demonstration pour la sous-categorie R.I.A.|R.I.A - modele RIA DN19 20m|856977.00||||6|3|disponible|DJI|RIA DN19 20m|19.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Incendie","subcategory":"R.I.A","series":"RIA DN19 20m"},"tags":["demo","catalogue","ria"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|59|0.00|0|34|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|35ec9e60-3685-45cd-bb36-38505defebe3
83|R.I.A RIA pivotant mural|ria-ria-pivotant-mural-34-3|CAT-34-03|Produit de demonstration pour la sous-categorie R.I.A.|R.I.A - modele RIA pivotant mural|165002.00||||20|3|disponible|Cisco|RIA pivotant mural|22.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Incendie","subcategory":"R.I.A","series":"RIA pivotant mural"},"tags":["demo","catalogue","ria"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|21|0.00|0|34|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|4cdc0840-a7a5-420b-97f9-b4fd914b0b0a
84|Detecteur de fumee Honeywell ECO1003|detecteur-de-fumee-honeywell-eco1003-35-1|CAT-35-01|Produit de demonstration pour la sous-categorie Detecteur de fumee.|Detecteur de fumee - modele Honeywell ECO1003|1325729.00||||6|3|disponible|ZKTeco|Honeywell ECO1003|1.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Incendie","subcategory":"Detecteur de fumee","series":"Honeywell ECO1003"},"tags":["demo","catalogue","detecteur-de-fumee"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|117|0.00|0|35|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|4a7bfb5f-1aa0-4c33-a46e-f4a7ba109386
85|Detecteur de fumee Siemens OP720|detecteur-de-fumee-siemens-op720-35-2|CAT-35-02|Produit de demonstration pour la sous-categorie Detecteur de fumee.|Detecteur de fumee - modele Siemens OP720|2172785.00||||7|3|disponible|DJI|Siemens OP720|30.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Incendie","subcategory":"Detecteur de fumee","series":"Siemens OP720"},"tags":["demo","catalogue","detecteur-de-fumee"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|27|0.00|0|35|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|b8839863-7d36-4b84-baa4-256754d70b6e
86|Detecteur de fumee Apollo XP95 Optical|detecteur-de-fumee-apollo-xp95-optical-35-3|CAT-35-03|Produit de demonstration pour la sous-categorie Detecteur de fumee.|Detecteur de fumee - modele Apollo XP95 Optical|3212371.00||||9|3|disponible|Huawei|Apollo XP95 Optical|5.00|{"taxonomy":{"domain":"Catalogue Produits Techniques","category":"Incendie","subcategory":"Detecteur de fumee","series":"Apollo XP95 Optical"},"tags":["demo","catalogue","detecteur-de-fumee"],"features":["Livraison et installation","Configuration selon votre environnement","Support de demarrage"]}|1 an|f|t|63|0.00|0|35|1|1|2026-04-07 16:34:33|2026-04-07 16:34:33|2026-04-07 16:34:33||f|8dcb8195-e7e9-4c7f-82e9-77884e074ad9

IDs only in prod (first 50):


IDs only in local (first 50):

